sample	gene	is_MET_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010006	CREBBP	FALSE	29	1.00493396477702	1.01459127863576	1.15493881048145	0.903136377322979	2.00986792955404	2.02918255727153	2.3098776209629	1.80627275464596	0.116399593507349	0.934048536334097
A269010006	DDR2	FALSE	7	0.983565293090213	0.985515708790045	1.01684282640245	0.967247933943351	1.96713058618043	1.97103141758009	2.0336856528049	1.9344958678867	0.618081666971275	0.208954137901931
A269010006	EGFR	FALSE	29	0.966593472815999	0.947478126209677	1.07299903278848	0.814127008321819	1.933186945632	1.89495625241935	2.14599806557697	1.62825401664364	0.0863781506662976	1.0635960983207
A269010006	ERBB2	FALSE	21	0.92931307446046	0.951039080670259	1.14602813658789	0.867644310696949	1.85862614892092	1.90207816134052	2.29205627317578	1.7352886213939	0.0447295748654644	1.34940522958188
A269010006	FGFR3	FALSE	16	0.97235573900332	0.980588649561655	1.06373696430076	0.928908800012506	1.94471147800664	1.96117729912331	2.12747392860151	1.85781760002501	0.472755514196764	0.32536339686418
A269010006	GATA3	FALSE	7	1.04126583267951	1.05440398220234	1.08562425354054	1.02648875672123	2.08253166535901	2.10880796440468	2.17124850708107	2.05297751344245	0.150499490105	0.82246497146522
A269010006	MDM2	FALSE	13	0.999306785866541	0.989267257026725	1.04759299989443	0.919201258516341	1.99861357173308	1.97853451405345	2.09518599978887	1.83840251703268	0.156496491337339	0.805495394922095
A269010006	MET	FALSE	25	1.00937971388483	1.00603480027831	1.08272066664703	0.947271351947034	2.01875942776966	2.01206960055662	2.16544133329406	1.89454270389407	0.0465337827094294	1.33223164243646
A269010006	NBN	FALSE	17	1.01324546102396	1.06231437746387	1.39929392486834	0.944454160181143	2.02649092204792	2.12462875492775	2.79858784973667	1.88890832036229	0.236665770382488	0.62586455072739
A269010006	NTRK1	FALSE	8	0.926465629723813	0.922644507067248	0.95476759436202	0.877039590907835	1.85293125944763	1.8452890141345	1.90953518872404	1.75407918181567	0.115828709079708	0.936183783876295
A269010006	Other	FALSE	284	1.0439672587168	1.54636460279886	86.6209200152173	0.211029263197377	2.08793451743361	3.09272920559773	173.241840030435	0.422058526394753	0.0427553419157424	1.36900961614999
A269010006	PTEN	FALSE	9	1.0282969329246	1.04045316972708	1.10621906802959	0.988241910061143	2.05659386584921	2.08090633945417	2.21243813605918	1.97648382012229	0.404333713343469	0.393260045684349
